k,exit_ok,gamma,kr,tgo,fuel_opt,",fuel_sim",final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
588,1,0.467608765553792,7.93592298757435,603.949113957867,6545.84396754698,6841.47487152105,1.02663160633516e-06,0.000993568788212375,-0.000504225259646773,0.28431495986643,-0.71568504013357,-0.00538501734416071,2.17568865796146e-05
589,1,0.677008558152587,7.24616825438812,592.901234641469,6525.66834854155,6799.67282871155,1.01362836609788e-06,0.00107135356229514,-0.00042585632763803,0.239260070704506,-0.760739929295494,-0.00482769141074474,2.06131187227034e-05
590,1,0.675042614607957,7.25090994969444,597.043042489807,6519.24105792492,6816.10180969042,-1.32663386889483e-06,0.001148903444384,-0.000454280758276582,0.239834999677438,-0.760165000322562,-0.00479913468646371,2.03414181766989e-05
591,1,3.01731342365979,12.2649555460214,641.000245018133,6687.95984583144,6958.13866242033,1.0470275361569e-06,0.000559831975472067,-0.000509166624397039,0.670637864681964,-0.329362135318035,-0.00905321906316668,2.98503609795192e-05
592,1,1.09285588263127,7.71818234087756,601.35899137443,6536.37482103648,6821.86530696081,3.22895618467406e-06,0.00104659764452058,-0.00049343635328114,0.27074806377583,-0.72925193622417,-0.00520461035605577,2.13426045155383e-05
593,1,0.603117946206548,6.96546855697566,596.242300721622,6506.09192254338,6816.75350337142,-4.12173441122232e-07,0.00130901051014014,-0.000454635126516223,0.203798831531366,-0.796201168468634,-0.00450577409011023,1.95931727689794e-05
594,1,2.42643575194636,10.4907728453877,623.115037888201,6607.79115388949,6897.34732975875,6.97082844435871e-07,0.00097897096142785,-0.000710805645212531,0.448923535309053,-0.551076464690947,-0.00753361686457187,2.70191087092193e-05
595,1,0.469241126387081,7.91846058909467,602.97434596581,6538.28221105623,6838.95487659077,-1.98402907137434e-06,0.000934761649974063,-0.000475841341540217,0.283149421132096,-0.716850578867904,-0.00537730956113227,2.17792584840482e-05
596,1,0.69406591379549,7.23861085107378,599.17154251002,6519.6561653105,6831.91827936504,-2.44233578172845e-06,0.00112501093147489,-0.000448219245299697,0.238367296029431,-0.761632703970569,-0.00476937324091711,2.01628942593304e-05
597,1,1.02998076561914,7.60546411605766,598.090305719581,6532.9143691712,6828.41471555705,1.3576204639818e-06,0.000924565901098555,-0.000287490664049983,0.262681194818302,-0.737318805181698,-0.00512533512670639,2.1261416510323e-05
598,1,2.05080623531266,10.1432363135816,627.521262475607,6638.88134585367,6933.5197306859,9.1839735408462e-07,0.000626011112917564,-0.000516219763085246,0.516807601261938,-0.483192398738062,-0.00731198452137083,2.57584456198287e-05
599,1,0.399987547940201,9.10721953291502,610.1693071616,6579.83337908005,6875.46683660984,-2.02980017496119e-07,0.00100883848157546,-0.000531399389728904,0.35892772490157,-0.64107227509843,-0.00641221615941241,2.44616129258177e-05
600,1,0.454030846833956,8.0259456979164,608.732895005477,6545.48204249102,6861.07414054567,-1.58962144362472e-06,0.000972161881000092,-0.000412991037592292,0.288426593456502,-0.711573406543498,-0.00542339582681005,2.16592131399528e-05
601,1,0.519681078123985,7.55700983433324,600.577809423435,6525.84600765338,6830.1055950144,-3.01881840443464e-07,0.000826422550556319,-0.000249691074714065,0.259630845951711,-0.740369154048289,-0.005058688009194,2.09513216504089e-05
602,1,1.35011339517857,8.68114246688348,618.393469704819,6598.02770588248,6914.42897392452,-1.56220784500193e-06,0.000548848882600953,-0.000404296675696969,0.399159740898096,-0.600840259101904,-0.00604749428567695,2.2701110048814e-05
603,1,1.00066186264408,7.55912154946208,599.621406901287,6525.80656274105,6821.90869471871,9.93588967771494e-07,0.000815767964489231,-0.000247087795287371,0.25974750633635,-0.74025249366365,-0.00506871210081354,2.10240833985569e-05
604,1,2.15244056008318,10.4132706212276,631.770656241382,6652.70318624796,6938.96257549422,1.79134181411749e-07,0.000456770774168161,-0.000263693276792765,0.546447686953376,-0.453552313046624,-0.0075234310910305,2.60896500734517e-05
605,1,1.27522659386523,8.04819636840343,603.219011944882,6542.84739389426,6861.46195654565,-1.59493359555085e-06,0.000839799561644043,-0.000318852020427585,0.291577068034311,-0.708422931965689,-0.00549663585957895,2.2118135908377e-05
606,1,1.1717053253305,7.85290485298981,600.752669101846,6540.97023586808,6825.93739911155,5.57389284658696e-07,0.000876883317072724,0.000156926456838846,0.278821992273177,-0.721178007726823,-0.00533543100783909,2.1758999262677e-05
607,1,0.608633091905173,7.29907892461898,597.247688534131,6519.33601424934,6815.93267991104,4.66844353972013e-07,0.000959879975995767,-0.000274174846708775,0.242859014772477,-0.757140985227523,-0.00484287931558344,2.04625194131302e-05
608,1,1.24288833402759,7.98607681613201,601.402374465865,6545.46396922119,6850.70058451512,-2.59007644886505e-06,0.00111272687320849,-0.000564716290682554,0.287506901180996,-0.712493098819003,-0.00545482600091264,2.20802103449125e-05
609,1,0.506760053863483,7.62884768033901,603.355959643985,6526.74728146793,6828.98124643639,1.77452680573365e-06,0.000846089224123617,-0.000422905897721648,0.264353889700149,-0.735646110299851,-0.00510275514919304,2.09561611801344e-05
610,1,1.99445070578981,10.0455570696885,628.836854288232,6641.78918475178,6950.64536309484,-1.0173314397897e-06,0.000523060033253556,-0.000327159883454442,0.513449611849804,-0.486550388150196,-0.00721368048923999,2.54037629906709e-05
611,1,1.20738388535508,7.91937967431077,603.154083608647,6538.43799169158,6848.88783497108,-5.63395647874734e-07,0.000935101307252362,-0.000476508401334286,0.28319718360119,-0.71680281639881,-0.00537654823018773,2.17688065275188e-05
612,1,0.789195737746246,7.83794802905564,607.624734105846,6564.10051817176,6865.35821235126,-1.54753453530856e-06,0.000451458076640887,0.000341470818966627,0.319667848537145,-0.680332151462855,-0.00533000334133996,2.12290955326672e-05
613,1,1.16804960867662,7.84610651106926,600.555014399633,6543.89293938567,6824.62967214891,2.56057849523932e-06,0.000931723164315285,-0.000326013891026378,0.278367394199457,-0.721632605800543,-0.00533076999271167,2.17544748711874e-05
614,1,1.32975796473884,8.1544472156673,608.8253520525,6544.31139278091,6851.94764383865,-1.29678382022885e-06,0.000963249756634424,-0.000519913854077458,0.298504696977854,-0.701495303022146,-0.0055446579112238,2.19993104644584e-05
615,1,0.693034738089899,7.24676011512587,595.189112632723,6521.85303443487,6795.76092796685,4.27959827770986e-06,0.00109808772934529,-0.000436301110312343,0.239418235381349,-0.760581764618651,-0.00480989694230319,2.04566223931078e-05
