Parameter,Mean,StdDev,Min,Max,-3σ,+3σ
gamma,1.10593434364699,0.762666263750185,0.336503422585126,7.99782094622339,-1.18206444760356,3.39393313489755
kr,8.23094766641495,1.44613919126737,6.39387671380091,22.9839472838474,3.89253009261284,12.569365240217
tgo,603.829654127177,18.148350243055,490.464267116964,763.900311030714,549.384603398012,658.274704856341
fuel_opt,6555.62189773377,44.525699813956,6454.42788661812,7045.87648795506,6422.0447982919,6689.19899717564
fuel_sim,6839.32495485491,108.079744788905,5809.75542758254,7426.55173996116,6515.0857204882,7163.56418922163
coeff1,0.31265408547401,0.105349182957392,0.126327381456141,1.19525702558638,-0.00339346339816704,0.628701634346186
coeff2,-0.68734591452599,0.105349182957392,-0.873672618543859,0.195257025586377,-1.00339346339817,-0.371298365653814
coeff3,-0.00565634818552584,0.00120310632003895,-0.0172912278174613,-0.00356967235452419,-0.00926566714564268,-0.00204702922540899
coeff4,2.2490890142954e-05,2.97045255605274e-06,1.43367423869815e-05,5.03098533219981e-05,1.35795324747958e-05,3.14022478111122e-05
