k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,3.0548499641639,12.1449348373506,766.183085384605,6956.18844214799,0.614987322370669,-0.385012677629331,-0.00742310140949012,2.06885507404791e-05
2,1,0.23411020149119,4.99124889098543,704.382562898867,6730.47464275255,0.0274038193438934,-0.972596180656107,-0.00216221744412387,1.0059862248899e-05
3,1,0.287157505222863,5.23107585153107,700.522001957395,6726.66511412412,0.0412288625124135,-0.958771137487586,-0.00236504604230648,1.06597607439426e-05
4,1,0.288547451691649,5.23742684454984,703.567679989781,6722.64764972039,0.0416283915706804,-0.95837160842932,-0.00235988926306239,1.05805004019302e-05
5,1,0.269835600399727,5.1521147897705,694.642858198206,6731.30818740893,0.0364033156215946,-0.963596684378405,-0.00232128019668886,1.06773229965613e-05
6,1,2.07965743453083,10.0557260304056,629.580689442349,6631.84560046968,0.483359894048282,-0.516640105951718,-0.00716544040327366,2.53694256276347e-05
7,1,0.218822957018784,4.92311547657105,692.079394597577,6722.02902985281,0.0239387926107738,-0.976061207389226,-0.00214642502362041,1.0278463180412e-05
8,1,0.286400123462795,5.22760972410794,702.791547222667,6730.77705548117,0.0410115257572684,-0.958988474242732,-0.00235463331104484,1.05840065105502e-05
9,1,3.92178510702673,13.2617515487551,739.456031043672,6873.5552364392,0.4696052235074,-0.530394776492599,-0.00824995772808114,2.4253598091004e-05
10,1,0.287262988664823,5.23155312523786,702.998824332339,6724.55782517179,0.0412588283632862,-0.958741171636714,-0.00235709553647683,1.05857453493178e-05
11,1,0.312036686642801,5.34550049020234,701.393596504769,6729.69119474181,0.0486825595193823,-0.951317440480618,-0.00245430356535747,1.0865876898301e-05
12,1,0.279643372362076,5.1967528525483,697.95335190554,6729.7157304571,0.0390989165936429,-0.960901083406357,-0.00234611000634525,1.0667908168667e-05
13,1,0.309836108487893,5.33534758847759,697.351335684681,6725.98090166388,0.0479995249948508,-0.952000475005149,-0.00246027107347424,1.09713341915132e-05
14,1,2.52595850179679,10.5191141877962,680.608288429163,6715.93105857225,0.409424788116985,-0.590575211883015,-0.00686001325783297,2.27083041419028e-05
15,1,0.280123663114972,5.19894017499244,699.1290883802,6728.87457908796,0.0392331747823422,-0.960766825217658,-0.00234392087171662,1.06365326104141e-05
16,1,1.46952068870416,8.36482834780549,626.997894689503,6589.53211967429,0.301947104322644,-0.698052895677356,-0.00555721368083841,2.12777091543144e-05
17,1,0.277169868895397,5.18550075317792,700.493849986845,6727.07463757686,0.0384114549986545,-0.961588545001345,-0.00232858836893179,1.05677382601517e-05
18,1,0.283232295347706,5.21314318566709,700.827710519229,6728.9945003346,0.0401098616157594,-0.959890138384241,-0.00234962378018602,1.06139520863045e-05
19,1,0.274936657335836,5.1753063368188,697.485535667916,6727.19401794338,0.0377932422738211,-0.962206757726179,-0.00233043744645784,1.06381387458547e-05
20,1,0.278235982630976,5.19035563615743,700.590228558294,6727.30488970141,0.0387074138478092,-0.961292586152191,-0.00233215532464506,1.05747221388587e-05
21,1,2.79598711473999,11.0900921676132,645.928227961793,6645.41972630854,0.436689919214716,-0.563310080785284,-0.00771252251777418,2.65807130476964e-05
22,1,2.17981736668633,9.85932627802436,650.109584852457,6647.11864026528,0.391052214357403,-0.608947785642597,-0.00664613390425581,2.33278170647947e-05
23,1,0.279109700967402,5.19433202618716,697.760390207902,6726.76437358239,0.0389505613225426,-0.961049438677457,-0.002344811481673,1.06688370563215e-05
24,1,1.97270355307784,9.48628263096218,626.631446145315,6600.77722359118,0.382572042190447,-0.617427957809553,-0.00658395518298772,2.41585958908574e-05
25,1,0.228823699767934,4.96764741126,700.795017864426,6726.8069509047,0.0261797488909862,-0.973820251109014,-0.00215470061291604,1.0115066726024e-05
26,1,0.281344087687954,5.20450973060658,700.8878716144,6730.41564860476,0.0395759457964624,-0.960424054203538,-0.00234250138658844,1.05945553709705e-05
27,1,0.314752022699393,5.35808419472792,701.3278602373,6725.65705440021,0.0495349120448205,-0.950465087955179,-0.00246472029333599,1.0893497811324e-05
28,1,0.279546821712791,5.19633638158973,699.672895277512,6727.73838723762,0.0390733764309113,-0.960926623569089,-0.00234000999363623,1.06146861334523e-05
29,1,0.315243315691742,5.36031207554463,701.455662343268,6724.14635993216,0.0496864824820402,-0.95031351751796,-0.00246607535318152,1.08940565236058e-05
30,1,0.281105375370642,5.20344166741932,701.365255272678,6729.47377873756,0.039510111956742,-0.960489888043258,-0.00234005168252642,1.05779666861337e-05
31,1,2.85616298824188,11.2663207815078,681.978814140188,6722.65173401186,0.456992738585645,-0.543007261414355,-0.00746379949611339,2.42236925531695e-05
32,1,0.22832850198144,4.96544028401606,698.381710751343,6725.70900022576,0.0260665615649683,-0.973933438435032,-0.00216040408897563,1.01805689180527e-05
33,1,0.279892175742751,5.19789790012747,702.751869415011,6732.27941435781,0.0391691746216336,-0.960830825378366,-0.00233100500472376,1.05250392838553e-05
34,1,0.269957197589983,5.15267702854638,694.112943451664,6725.42319508291,0.0364367406282112,-0.963563259371789,-0.00232350551897424,1.06947992186164e-05
35,1,0.285385300933085,5.22297624283489,704.10323780978,6725.61082217772,0.0407217774267912,-0.959278222573209,-0.00234654495267439,1.05352626570389e-05
36,1,0.230410932822268,4.97472892525975,701.988715385284,6730.28182444737,0.0265443921672449,-0.973455607832755,-0.00215659998746022,1.00950659210379e-05
37,1,0.224323631195531,4.94760532523251,696.581194806253,6724.44567365455,0.0251600268281827,-0.974839973171817,-0.00215188509339727,1.01965101648175e-05
38,1,0.290693329319463,5.24727185562826,704.819364737509,6730.42094158616,0.0422510473968337,-0.957748952603166,-0.00236356584191096,1.05627721016475e-05
39,1,2.2099089153561,9.84488064765804,628.818549330845,6604.14431491383,0.374029354010941,-0.625970645989059,-0.00683260645286631,2.48977307887351e-05
40,1,0.284497196579412,5.21891768852885,704.184537863798,6726.24289159112,0.0404687201632987,-0.959531279836701,-0.00234303293485102,1.05246455294237e-05
41,1,0.296042575254168,5.27178537029852,706.777381078392,6728.73185769428,0.0438189181760348,-0.956181081823965,-0.00237657804040419,1.05534008872869e-05
42,1,1.88281227121774,9.46540693242702,630.834039378329,6619.87687150564,0.412120251859638,-0.587879748140362,-0.00657038691532525,2.37853228471425e-05
43,1,2.71918129866095,11.0947397085397,611.534706577306,6624.2354436409,0.477200321338722,-0.522799678661279,-0.0082163287243835,2.96670865360658e-05
44,1,0.21813160265292,4.92006251787724,691.119192675172,6719.04425360091,0.0237884711816383,-0.976211528818362,-0.00214698093447053,1.03006519716751e-05
45,1,0.225342152788251,4.95214295636427,696.734124657676,6725.11576490015,0.02538930289017,-0.97461069710983,-0.00215499819505757,1.02013819747075e-05
46,1,0.225775978972936,4.95407601152704,698.370570610209,6727.93214325679,0.0254872595505075,-0.974512740449492,-0.00215147276896445,1.01575929702682e-05
47,1,0.285346201814528,5.22279315940861,702.342252218549,6728.86089299919,0.0407103470175196,-0.95928965298248,-0.00235228184194127,1.05877879500452e-05
48,1,2.18451331307842,9.77513498604833,650.051751708684,6648.25584077269,0.367027441663708,-0.632972558336292,-0.00654500956809133,2.31327304574374e-05
49,1,0.311375729488732,5.34246207875338,699.844888852701,6726.93727339956,0.0484777131632954,-0.951522286836705,-0.0024572712895842,1.09078173673674e-05
50,1,0.228926076896141,4.96809214835486,699.406723516251,6725.56986215179,0.0262025828136432,-0.973797417186357,-0.00215932819375589,1.01561717523019e-05
51,1,0.283819995056811,5.21580577697588,702.036104753615,6727.79343558069,0.0402751554022245,-0.959724844597776,-0.00234771122557665,1.05828469478779e-05
52,1,0.294091401378925,5.26285024115029,707.317550250355,6725.64412831969,0.0432445482124864,-0.956755451787514,-0.00236763483133549,1.05194284436707e-05
53,1,0.226630070219637,4.9578793290898,700.066280556898,6728.6167057593,0.0256804854312337,-0.974319514568766,-0.00214925385176275,1.01162052527412e-05
54,1,2.5733261705925,10.8224097635553,615.477327616263,6613.91000620789,0.471458875848285,-0.528541124151714,-0.00793313342107408,2.85693167768082e-05
55,1,0.279892112159483,5.19790836424594,699.168562898944,6722.4310994785,0.0391698169381666,-0.960830183061833,-0.00234296003279814,1.06332208360433e-05
56,1,0.228674110927301,4.96696724235679,698.38410071885,6724.15222871854,0.02614484456332,-0.97385515543668,-0.0021616019955034,1.01836299182457e-05
57,1,2.10070063985589,9.61441018048656,631.429571802354,6608.95430706495,0.361927017194304,-0.638072982805695,-0.0066026874470532,2.41141974006659e-05
58,1,0.290147278221361,5.24476062777876,705.831138059393,6728.40266638268,0.0420918392240528,-0.957908160775947,-0.0023581733127979,1.0527470777929e-05
59,1,0.227675216779372,4.96253615268095,699.875139800361,6729.94916198522,0.0259179654374154,-0.974082034562585,-0.00215350704156717,1.01312387318799e-05
60,1,2.209000525457,9.96494232782171,656.699093326603,6668.28940118051,0.405938900799879,-0.594061099200121,-0.00668252797865247,2.31069144377479e-05
61,1,0.22573493345474,4.95390038346178,696.935155337974,6727.7956770186,0.0254783526813596,-0.97452164731864,-0.00215576518547649,1.01991158540407e-05
62,1,2.86163460281136,11.2708686699981,697.932041301183,6766.12515928971,0.455470694567202,-0.544529305432798,-0.00729427039927135,2.31382823210185e-05
63,1,0.28491704144142,5.22082325811675,701.736012777369,6728.29687392183,0.0405874494465299,-0.95941255055347,-0.00235273528569596,1.06020893846491e-05
64,1,1.74712782297517,8.97316755509524,603.433774200923,6557.38185458699,0.344777155499439,-0.655222844500561,-0.0063492649845803,2.46426012359492e-05
65,1,0.284897452203438,5.22073773795928,702.400847930617,6726.4359252275,0.0405821177292503,-0.95941788227075,-0.00235043991130257,1.05818554030421e-05
66,1,3.62580120934579,13.0370478436628,757.153438088757,6918.39918677195,0.575355397407864,-0.424644602592136,-0.00804840738044027,2.27410996809076e-05
67,1,0.224894608802715,4.95015260049374,698.825115775259,6726.38046594371,0.0252886196965584,-0.974711380303442,-0.00214698196454911,1.01363495117281e-05
68,1,0.288753487964685,5.23836428277675,703.714194323093,6728.53526071368,0.0416875066280782,-0.958312493371922,-0.00236014799959244,1.05779881064754e-05
69,1,1.84477633785587,9.50570114892725,632.522934448008,6622.77098561774,0.435706454031273,-0.564293545968727,-0.00662198443784522,2.37591884467045e-05
70,1,0.292078597056027,5.25361807802774,707.566212720591,6728.64769225937,0.0426545573108027,-0.957345442689197,-0.00235944504741908,1.04935956279806e-05
71,1,0.283332150678825,5.21359973910278,703.968843970977,6729.25278849535,0.0401381833282955,-0.959861816671705,-0.00233950417974405,1.05203650265335e-05
72,1,2.75929010444637,11.5347461343867,625.32574416877,6651.50272263497,0.584455513852797,-0.415544486147203,-0.00855846513749439,2.94981937244451e-05
73,1,0.224533152077085,4.94852213731848,696.47037297734,6726.00905135802,0.0252062758513978,-0.974793724148602,-0.0021529520891184,1.02016454022435e-05
74,1,0.22735022769152,4.96108198725746,697.04814336371,6723.53244677608,0.0258437032351553,-0.974156296764845,-0.00216109132662574,1.02105904007341e-05
75,1,3.54965599598357,13.2550316649349,732.12698981062,6874.12329479798,0.689417800702215,-0.310582199297785,-0.00862819390773132,2.47290785909351e-05
76,1,1.34448328534426,8.69541511544992,705.705518604096,6815.0896127369,0.40329645885154,-0.59670354114846,-0.00531525390930212,1.74599619379247e-05
77,1,0.232165085374921,4.98254643730806,702.181610468153,6728.78316301975,0.0269495577536895,-0.97305044224631,-0.00216215114975099,1.01053754115185e-05
78,1,0.286901120389427,5.22990741311169,705.196842685209,6724.34647014134,0.0411555417410298,-0.95884445825897,-0.00234843542689561,1.05165497838328e-05
79,1,0.230701974776929,4.97601130391563,701.228195537959,6723.7942951156,0.0266106665588674,-0.973389333441133,-0.00215994782890143,1.01195830234379e-05
80,1,2.08971862831254,9.65073748289827,642.23890442501,6628.26558428509,0.375894257052125,-0.624105742947875,-0.006541589071535,2.33973828949121e-05
81,1,2.96686511258232,11.7855684635782,738.519686159809,6886.47811689654,0.553080679579667,-0.446919320420334,-0.00737402809082375,2.16085876539101e-05
82,1,0.277768034377121,5.18822546857005,700.878824724692,6732.74388760237,0.0385774337653608,-0.961422566234639,-0.00232948993528477,1.0561678981562e-05
83,1,3.84609431051186,14.9723260489067,802.715284843212,7118.8421031381,1.07898686105641,0.0789868610564097,-0.00942444977485064,2.32362591152648e-05
