Parameter,Mean,StdDev,Min,Max,-3σ,+3σ
gamma,0.618780163672901,0.0854055584765876,1.30873820098919e-06,0.6411743712424,0.362563488243138,0.874996839102663
kr,5.26101572354918,0.00606594248363827,5.23952816856451,5.28245071377261,5.24281789609827,5.2792135510001
tgo,635.965101886009,2.18137160726636,629.149043186413,643.780048123782,629.42098706421,642.509216707808
fuel_opt,6547.41046743523,2.92578013297506,6537.41997661598,6558.11933617666,6538.63312703631,6556.18780783416
coeff1,1.24518058047174e-05,1.5618655665341e-06,4.13210632715121e-07,1.35636423354752e-05,7.76620910511512e-06,1.71374025043197e-05
coeff2,-0.999987548194196,1.56186556653381e-06,-0.999999586789367,-0.999986436357665,-0.999992233790895,-0.999982862597496
coeff3,-0.00256389805971387,1.35047570038579e-05,-0.00260653705588388,-0.00251787609966665,-0.00260441233072544,-0.0025233837887023
coeff4,1.30083352959595e-05,1.04000220253041e-07,1.2647744683757e-05,1.33332371632903e-05,1.26963346352004e-05,1.33203359567187e-05
