Parameter,Mean,StdDev,Min,Max,-3σ,+3σ
gamma,0.563422964468685,0.00353718555021802,0.551521695167062,0.575584865001379,0.552811407818031,0.574034521119339
kr,5.12695106621652,0.00707448730178459,5.10314902749614,5.15126999680018,5.10572760431117,5.14817452812188
tgo,635.352267486331,2.18043321799919,628.503275726552,643.173998431081,628.810967832334,641.893567140329
fuel_opt,6548.03242552757,2.96242264399695,6538.23455825313,6558.91899432386,6539.14515759558,6556.91969345956
fuel_sim,6860.11691716808,15.3013533852103,6809.62191548908,6915.54210602535,6814.21285701245,6906.02097732371
coeff1,1.15542146831965e-05,1.43282073988663e-07,1.08745318190837e-05,1.17431548774247e-05,1.11243684612305e-05,1.19840609051625e-05
coeff2,-0.999988445785316,1.43282073989029e-07,-0.999989125468181,-0.999988256845123,-0.999988875631538,-0.999988015939094
coeff3,-0.00246086707446016,1.39706401326509e-05,-0.00250482589258284,-0.00241238908053189,-0.00250277899485811,-0.0024189551540622
coeff4,1.27013359735218e-05,1.04529721981164e-07,1.23361969242482e-05,1.30300315774829e-05,1.23877468075783e-05,1.30149251394653e-05
