k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,0.188271004308387,4.78850889768926,700.809682590452,6716.3626103125,0.0177220782514534,-0.982277921748547,-0.00201477885105254,9.74989888378416e-06
2,1,0.234113082697025,4.99124885975477,704.382562602352,6730.47464518596,0.0274038177041324,-0.972596182295868,-0.00216221742053731,1.00598621944231e-05
3,1,0.235937633404886,4.99941351807901,701.003607427575,6725.9780350997,0.0278330944198739,-0.972166905580126,-0.00217907559572323,1.01736912691442e-05
4,1,0.23673658150904,5.00298539377535,704.250110196336,6722.52005001134,0.0280218324350312,-0.971978167564969,-0.00217183427759251,1.00873104669078e-05
5,1,0.220902005173292,4.93235194904692,693.712395991588,6726.88979230684,0.0243961739509693,-0.975603826049031,-0.00214868893375303,1.02493222536074e-05
6,1,0.229365997674703,4.97005295050211,700.02058890024,6728.2503424338,0.026303361837605,-0.973696638162395,-0.00215897912297554,1.01423685671475e-05
7,1,0.218812027634875,4.92311831533685,692.079552458347,6722.02951876895,0.0239389326647045,-0.976061067335296,-0.00214642678729124,1.02784644182167e-05
8,1,0.234865661786328,4.9946121029545,703.257669549239,6730.07456804181,0.02758028675198,-0.97241971324802,-0.00216831810623071,1.00988706789789e-05
9,1,0.226347227428752,4.95660334451789,698.228243492052,6726.19143350651,0.0256155865190575,-0.974384413480943,-0.00215390493408926,1.01669184793952e-05
10,1,0.235637067628207,4.9980563293047,703.56279463435,6724.11583850837,0.0277615300984387,-0.972238469901561,-0.00217008304929524,1.00970711324106e-05
11,1,0.231828120924044,4.98104465490644,702.696287197294,6730.04608206645,0.0268715100555166,-0.973128489944483,-0.00215938786806583,1.00875364597973e-05
12,1,0.229428337944814,4.9703220234211,697.791918062809,6727.33003425738,0.0263172048644284,-0.973682795135572,-0.00216608730690247,1.02078118631436e-05
13,1,0.223849595623665,4.94549074177225,698.215515300578,6725.00465545477,0.02505350125952,-0.97494649874048,-0.00214518130766666,1.01444943073777e-05
14,1,0.278794659324837,5.19290235905235,699.877467563539,6726.25323277917,0.0388630634047934,-0.961136936595206,-0.00233657221259592,1.06014710889702e-05
15,1,0.229678483242764,4.9714727466881,699.032591343439,6726.66686253836,0.0263764431790513,-0.973623556820949,-0.00216315066743461,1.0173964405747e-05
16,1,0.937083205949546,7.14530818730086,652.527519190227,6631.49505500518,0.202780365176067,-0.797219634823933,-0.00425336001502397,1.67812111240226e-05
17,1,0.22675651730967,4.95843099526917,700.213911219184,6724.39369789276,0.0257085670108167,-0.974291432989183,-0.00214923474174498,1.01130651330331e-05
18,1,0.221595278074932,4.78699819819657,698.770027411216,6719.51000720043,0.0171467212762634,-0.982853278723737,-0.00201875547753625,9.8038064185791e-06
19,1,0.225166607588979,4.95136309857973,696.979959245683,6723.90193199638,0.0253498319544975,-0.974650168045503,-0.00215362201069437,1.0192581534544e-05
20,1,0.2277292139512,4.96276115794392,700.388367895959,6724.83005131044,0.0259294646818291,-0.974070535318171,-0.00215210604965058,1.01168549911453e-05
21,1,0.228788915602266,4.96748024900948,699.310525586684,6723.78731849723,0.0261711686593352,-0.973828831340665,-0.00215914280983736,1.0157714895125e-05
22,1,0.229379246365118,4.97011301829661,699.861317039332,6723.65436987938,0.0263064518724323,-0.973693548127568,-0.00215951778477249,1.01471080541218e-05
23,1,0.228970068101799,4.96827302960122,697.563747617771,6724.28304820463,0.0262118722516882,-0.973788127748312,-0.0021651761465676,1.02102799482666e-05
24,1,0.226964368786785,4.9593559666223,699.162441457705,6722.91646905766,0.0257556819535449,-0.974244318046455,-0.00215319584691359,1.01453982869019e-05
25,1,0.228825340747178,4.96764737249691,700.795017603929,6726.8069500083,0.0261797468974107,-0.973820253102589,-0.00215470058321573,1.01150666546149e-05
26,1,0.230520483804391,4.97520713817347,700.919443328433,6728.55827665471,0.0265690979426165,-0.973430902057383,-0.00216026632081862,1.01268634068765e-05
27,1,0.18607198832127,4.77881420741747,699.752963313173,6716.13546350874,0.0173072842147047,-0.982692715785295,-0.00201030143732863,9.75956933093947e-06
28,1,0.229079414872913,4.96876991379078,699.547114753448,6725.45689433803,0.0262373981788602,-0.97376260182114,-0.00215942904089693,1.01534806887914e-05
29,1,0.230217377567293,4.97386090520745,703.204234517133,6725.60906197974,0.0264995742193474,-0.973500425780653,-0.00215219128744623,1.00584411994379e-05
30,1,0.230244760854873,4.97397848078739,701.386751182361,6727.59170967769,0.0265056429365028,-0.973494357063497,-0.00215786066785383,1.01108760403073e-05
31,1,0.227378005056016,4.961210653574,699.463864850702,6723.32162696394,0.025850270187714,-0.974149729812286,-0.00215372898111936,1.01404470386053e-05
32,1,0.229099675380034,4.77107518173626,696.595407034726,6718.94787792816,0.0160781844128802,-0.98392181558712,-0.00201209448286118,9.83229831885863e-06
