k,exit_ok,gamma,kr,tgo,fuel_opt,coeff1,coeff2,coeff3,coeff4
1,1,0.458742586010402,6.04541509163567,672.326364100861,6653.93440444356,0.105222378931952,-0.894777621068048,-0.0031650252591174,1.33741393042307e-05
2,1,0.458441338187506,6.04393303538816,672.878848534608,6657.86475138564,0.105084157747613,-0.894915842252387,-0.00316111983616957,1.33489126219237e-05
3,1,0.410563047594222,5.81081260013034,682.306489054237,6683.61446587685,0.0842808712340759,-0.915719128765924,-0.00291611937335845,1.24818185903694e-05
4,1,0.413380225255075,5.82440198090254,684.352376967102,6676.79251558976,0.0854414228312981,-0.914558577168702,-0.00291902604639977,1.24363169203553e-05
5,1,0.454118785703846,6.02269086776487,665.179697298634,6662.44598690501,0.103111182028669,-0.896888817971331,-0.0031787750355252,1.36117073106971e-05
6,1,1.44683257677665,8.83345117526221,604.357830947752,6581.94534897207,0.407119514172778,-0.592880485827222,-0.00632712096376304,2.41847780021553e-05
7,1,0.453235942721762,6.0183602488405,664.014005843031,6658.77517026212,0.102710824060908,-0.897289175939092,-0.00318049157080641,1.36497186744214e-05
8,1,0.411064009695408,5.81322817552829,684.183366551953,6686.49785152441,0.0844866835872768,-0.915513316412723,-0.00291018587807225,1.24185916411285e-05
9,1,0.456014686048668,6.03199901758827,668.343824031534,6658.02866602004,0.103973850232601,-0.896026149767398,-0.00317198017367587,1.35039674883535e-05
10,1,0.411908370516393,5.81730072497612,684.14180858625,6679.60357899511,0.084834145020322,-0.915165854979678,-0.00291384692835515,1.24288015122215e-05
11,1,0.457817527903309,6.04086692900372,671.651439565745,6658.7278381425,0.104798437771856,-0.895201562228144,-0.0031641887102152,1.33909494051749e-05
12,1,0.454098653064372,6.02259140569584,668.712808077827,6661.40033532316,0.1031019798174,-0.8968980201826,-0.00316189200673907,1.34680313033821e-05
13,1,0.457204253468388,6.03785282178542,667.904224348574,6655.66542148862,0.10451787199999,-0.89548212800001,-0.00317926463927333,1.35348716548783e-05
14,1,0.456649566089944,6.03512026145614,669.366546705879,6654.40261594058,0.104263778396746,-0.895736221603254,-0.00316989834578206,1.34696999490748e-05
15,1,0.455282460696815,6.02841141505813,669.342939714978,6659.03881188285,0.103641008817463,-0.896358991182537,-0.00316406820881439,1.34556756528625e-05
16,1,0.456518546399798,6.03447663824367,670.258944982386,6656.19149598914,0.104203966200803,-0.895796033799197,-0.00316510850202587,1.3432423414975e-05
17,1,0.457845331307284,6.04100384741844,669.377714914129,6653.59814637948,0.104811189979751,-0.895188810020249,-0.00317505806712077,1.3482381537882e-05
18,1,0.456016762653273,6.03201769115022,670.81968733141,6658.54139059353,0.103975583818737,-0.896024416181263,-0.00316028952255018,1.34045119698012e-05
19,1,0.455416077361619,6.02905922648317,667.467728362715,6656.74509353303,0.103701077653545,-0.896298922346455,-0.00317353274306027,1.35328417969301e-05
20,1,0.457551712270779,6.03955673714034,669.660377658695,6654.35266280798,0.104676442001037,-0.895323557998963,-0.00317243618026028,1.34677751984064e-05
21,1,0.456057949038449,6.03221640977034,669.244798430051,6655.09602928154,0.103994032852486,-0.896005967147514,-0.00316790245170541,1.34681177568057e-05
22,1,0.456320611946689,6.03351065453707,669.645740359205,6654.57188455973,0.104114223122183,-0.895885776877817,-0.00316715155875263,1.34548810526427e-05
23,1,0.454204858916931,6.02311993044337,668.431438478917,6658.17441131579,0.103150882660017,-0.896849117339984,-0.00316369148149875,1.34805550684681e-05
24,1,0.456763458662406,6.03567833065407,668.8567539666,6653.58221561458,0.104315651327345,-0.895684348672655,-0.00317280913150554,1.34914880328871e-05
25,1,0.457377936287711,6.03869572959872,670.139211152391,6656.5686576907,0.104596302572287,-0.895403697427713,-0.00316940738883082,1.344661861702e-05
26,1,1.61378721040426,8.76223485879898,623.659915614302,6592.76398233124,0.34266203887325,-0.65733796112675,-0.00597084945663829,2.25278230595901e-05
27,1,0.458971052893337,6.04653765857609,671.417793275826,6654.0905122794,0.105327122201175,-0.894672877798825,-0.003170300180911,1.34128500507019e-05
28,1,0.0780455822545898,4.31827193837254,676.894048311317,6656.99646898464,0.00304552822006275,-0.996954471779937,-0.0017169326577855,9.42472304833277e-06
29,1,0.459137528858277,6.04734849993671,671.502365615314,6652.4224088316,0.105402805674141,-0.894597194325859,-0.00317061735693451,1.34112699133159e-05
30,1,0.457308721307985,6.03836458369142,670.681684161366,6657.2109126743,0.104565487377015,-0.895434512622985,-0.0031665510321462,1.34241389505338e-05
31,1,0.456861074488048,6.03616428765861,669.082780694101,6653.77442629894,0.104360829933376,-0.895639170066624,-0.00317216798130849,1.34834598179548e-05
32,1,0.455275315759385,6.02836782863124,668.768690962825,6658.29154446509,0.103636967738433,-0.896363032261567,-0.00316674645609535,1.34786959748343e-05
33,1,0.459097397012886,6.04715946560088,671.17331380102,6657.582308916,0.105385159341236,-0.894614840658764,-0.00317200467951389,1.34240036158905e-05
34,1,0.453698890555136,6.02063757291549,664.785782236237,6656.87258565907,0.102921279462613,-0.897078720537387,-0.00317882861274762,1.36231970778199e-05
35,1,0.458874007095063,6.04605679477186,672.78576052597,6651.52785942379,0.105282249088834,-0.894717750911166,-0.00316342998224412,1.33572987751833e-05
36,1,0.457735508152126,6.04045642759277,671.072388279854,6659.32957206383,0.104760208572452,-0.895239791427548,-0.00316655618601113,1.34131572539721e-05
37,1,0.455401974846519,6.02899238095503,667.147004784672,6657.51437275399,0.103694878692738,-0.896305121307262,-0.00317499899419307,1.35457062679908e-05
38,1,0.41615216748294,5.83779130507577,684.972359365327,6683.06714306003,0.0865913139947218,-0.913408686005278,-0.00292783634129533,1.24423516616342e-05
39,1,0.456674623383695,6.03525563246246,669.733345885829,6656.65184664026,0.104276360264058,-0.895723639735942,-0.00316828210739415,1.34552516358444e-05
40,1,0.459266031553078,6.04797152816204,672.635078987879,6651.51101427758,0.105460973790638,-0.894539026209362,-0.00316582765959197,1.33675159987042e-05
41,1,0.422132216612328,5.86672296964619,685.515044680419,6677.94425097197,0.0890976729952189,-0.910902327004781,-0.00295027683712057,1.24842253685281e-05
42,1,0.455872661900363,6.03130181401721,668.349711522283,6655.99301416093,0.103909132843209,-0.896090867156791,-0.00317133381418561,1.35021687592669e-05
43,1,0.457174805473152,6.03770453706504,670.012218328972,6658.25789574806,0.104504076934557,-0.895495923065443,-0.00316913078206661,1.34495084254009e-05
44,1,0.451779190012069,6.01121177026643,663.635415045934,6657.24339530612,0.10205134979046,-0.89794865020954,-0.00317592640045859,1.36490655573063e-05
45,1,0.4550664538347,6.02735010033349,667.406052535281,6658.47942565015,0.103542628191326,-0.896457371808674,-0.0031723081777808,1.35315060681394e-05
46,1,0.456393163849693,6.03386018417397,668.373358366309,6659.47215463755,0.104146691945631,-0.895853308054369,-0.00317349092013051,1.35069403437935e-05
47,1,0.456919444507284,6.03644687022003,672.002386748251,6657.48649678626,0.104387104819122,-0.895612895180878,-0.00315863541824639,1.33671786224637e-05
48,1,0.457161249237208,6.0376356740746,668.43737539455,6658.47928905987,0.104497670798246,-0.895502329201754,-0.00317653618124247,1.35128032224722e-05
49,1,0.457634965047847,6.03995488912878,670.207466394888,6656.18723671168,0.104713508970386,-0.895286491029614,-0.00317019887134904,1.34466831490722e-05
50,1,0.456039204087409,6.03212995048782,669.36249031821,6656.9544124858,0.103986005810337,-0.896013994189663,-0.0031672688740691,1.34631890905414e-05
51,1,0.457141192733246,6.03753747898018,671.514469713071,6655.92529548555,0.104488536253254,-0.895511463746746,-0.00316189355778228,1.33890292169259e-05
52,1,0.420558250910321,5.85910223835891,686.216072991057,6675.0078350826,0.08843462053623,-0.91156537946377,-0.00294074391309395,1.24425474028593e-05
53,1,0.457624835566845,6.03991291267322,669.406988315132,6658.35590691123,0.104709600816451,-0.895290399183549,-0.00317395260916046,1.34787678374627e-05
54,1,0.455322422172806,6.02859500174548,668.107168397684,6654.30775245828,0.103658030598955,-0.896341969401045,-0.00317008353098675,1.35059098373371e-05
