Parameter,Mean,StdDev,Min,Max,-3σ,+3σ
gamma,0.590440873692982,0.0815089516671367,1.22396888843731e-06,0.612932589727239,0.345914018691572,0.834967728694392
kr,5.20333870830861,0.00646588298633586,5.18118456722248,5.22596658849771,5.1839410593496,5.22273635726761
tgo,636.080647142374,2.18260618082365,629.228683432441,643.906439909204,629.532828599903,642.628465684845
fuel_opt,6551.97833223696,2.93562705445552,6542.25045138736,6562.714526231,6543.1714510736,6560.78521340033
fuel_sim,6861.7071092391,15.2779983554896,6811.26739363578,6917.11238505369,6815.87311417263,6907.54110430556
coeff1,1.18306404619309e-05,1.43531761170705e-06,3.66773564260882e-07,1.25741969987155e-05,7.52468762680972e-06,1.6136593297052e-05
coeff2,-0.999988169359538,1.4353176117077e-06,-0.999999633226436,-0.999987425803001,-0.999992475312373,-0.999983863406703
coeff3,-0.00251809415376184,1.36753990191392e-05,-0.00256126127018632,-0.00247106261837227,-0.00255912035081926,-0.00247706795670442
coeff4,1.28610585327166e-05,1.04049337384001e-07,1.24989096310939e-05,1.31885126937919e-05,1.25489105205646e-05,1.31732065448686e-05
