k,exit_ok,gamma,kr,tgo,fuel_opt,fuel_sim,final_error_1,final_error_2,final_error_3,coeff1,coeff2,coeff3,coeff4
1,1,0.598486365892546,5.19708010463696,638.380687116318,6549.41082353028,6869.83241317386,4.37777468760103e-06,0.00375205726227842,0.00184167525731027,1.23651193155179e-05,-0.999987634880684,-0.00250407390088623,1.27526350414361e-05
2,1,0.598700484412364,5.19750835412108,638.810261830795,6552.19765464311,6892.60787297896,1.82150208627151e-06,1.08827766410787e-06,-0.000203829491510987,1.23699574713534e-05,-0.999987630042529,-0.00250272521051249,1.27365389487397e-05
3,1,0.598919260375912,5.19794563187846,637.521768075244,6554.30078111794,6831.61586245584,3.18147481845404e-05,0.00369985629519423,0.0018576008733362,1.23418448810548e-05,-0.999987658155119,-0.00250812636972638,1.27891504423275e-05
4,1,0.596069858085812,5.19224704853508,639.088391453834,6545.93667637754,6872.0725089119,8.48244625560253e-07,6.7569633538158e-07,-0.000204282812774181,1.23220079100075e-05,-0.99998767799209,-0.00249751969777525,1.27125738878979e-05
5,1,0.608977056135772,5.21806115718172,631.669107723621,6559.37124829761,6868.4138140632,3.01503597407093e-07,-3.20474734232739e-07,-0.000192220089957118,1.24929987639274e-05,-0.999987507001236,-0.00254728789474638,1.30776553897549e-05
6,1,0.602219144907325,5.20453972940022,636.044511704549,6555.30515052945,6845.01686372742,-1.24434766522174e-06,-3.23893070278606e-07,-0.000195231521502137,1.17378393359629e-05,-0.999988262160664,-0.00251913438926696,1.28649264914276e-05
7,1,0.609765014312882,5.21963705443895,630.472721411483,6555.85935832637,6852.11297193984,-4.03872953249682e-07,-8.0847089097504e-07,-0.000190184218809009,1.25031556771411e-05,-0.999987496844323,-0.00255337142385972,1.31312994144367e-05
8,1,0.598841948781855,5.19779116990565,638.46159809731,6554.41271400064,6871.97590952976,3.34180853780792e-07,8.22688960176382e-07,-0.000202278373762965,1.23591929716237e-05,-0.999987640807028,-0.00250431341354081,1.27511473888001e-05
9,1,0.604112070930712,5.20832558040411,634.601885487206,6553.89452838863,6915.56496469945,3.63967201072818e-06,2.17910556115533e-06,-0.000208499608561397,1.17660543066357e-05,-0.999988233945693,-0.00252784398052139,1.29328847849051e-05
10,1,6.63682815076396e-06,5.1945497943232,638.573337562389,6547.77502938808,6902.04334024073,2.82403939392153e-06,8.88565993559108e-07,-0.000210375292226672,1.98197682484964e-06,-0.999998018023175,-0.00250132096845082,1.2738736397801e-05
11,1,0.600205792072123,5.20051889077004,637.715611893021,6553.98851579921,6845.02825962623,-1.28616259784013e-06,-3.27905761795553e-07,-0.000195374013856053,1.23848001807787e-05,-0.999987615199819,-0.00250938161202434,1.27877041516637e-05
12,1,0.603341431505856,5.2067899070401,635.028668501119,6558.17880518,6912.32955933997,3.04962098374392e-06,2.08069769683459e-06,-0.000207786913961172,1.24040774178588e-05,-0.999987595922582,-0.00252493696289657,1.29116989135809e-05
13,1,0.604726764888018,5.20955498293055,634.190936598354,6551.6114901873,6869.69125031353,6.86452514182691e-07,-6.80023793822229e-07,-0.000192509964108467,1.17769431218405e-05,-0.999988223056878,-0.00253045128177974,1.29527076636835e-05
14,1,0.602068263336428,5.20423797905022,635.551194830337,6549.89847501087,6857.85766834442,1.1689511795756e-05,0.00374145087736958,0.00183382234536111,1.17370588452872e-05,-0.999988262941155,-0.00252085235558664,1.28841587918815e-05
15,1,0.60246039717376,5.20502793972418,635.575589493295,6555.08617537586,6874.80933532205,6.91839291159534e-07,4.60809924129812e-07,-0.000199276022613049,1.24018882763983e-05,-0.999987598111724,-0.00252137809922493,1.28851253308565e-05
16,1,0.601057730500606,5.20221690963242,636.404410569357,6551.72000410036,6858.504162142,-1.94855150170893e-07,-5.19704489509343e-07,-0.000194856198504567,1.17214784047036e-05,-0.999988278521595,-0.00251588478914245,1.28446446741472e-05
17,1,0.602387438382778,5.20487634165481,635.572158265345,6549.1770678802,6856.09038848099,-1.17652302998733e-07,-7.38327958305013e-07,-0.000193343730643392,1.17432888393633e-05,-0.999988256711161,-0.00252127141391747,1.28848891682825e-05
18,1,0.600461117869074,5.20102942445494,636.97200586267,6554.42702566974,6887.53423367522,1.47266454159895e-06,1.23549354038717e-06,-0.000204347306862473,1.23752391960946e-05,-0.999987624760804,-0.00251271181894254,1.28188368066839e-05
19,1,0.604761875466086,5.20962518139024,633.809348420492,6553.12111084092,6881.14368085728,1.37028188562225e-06,4.25119717683004e-07,-0.000198965426534414,1.17748333600641e-05,-0.99998822516664,-0.00253203012787338,1.29684835944151e-05
20,1,0.60190313504592,5.20390772746866,635.87308994368,6550.3193373145,6880.8865942283,1.3968595111564e-06,7.67415896240782e-07,-0.000201987102627754,1.17351626897197e-05,-0.99998826483731,-0.00251931654953178,1.28703007386229e-05
21,1,0.602070693054412,5.20424282903,635.462669003186,6550.89992378336,6869.77659404146,6.40277725429527e-07,-3.60225478329066e-07,-0.000195671804249287,1.17360012584305e-05,-0.999988263998742,-0.00252120734807197,1.288776081736e-05
22,1,0.601360870637755,5.20282318361429,635.880458689076,6550.79546108191,6841.92400540059,1.53351339902486e-05,0.00373817045917277,0.00184459052979946,1.17252961431354e-05,-0.999988274703857,-0.00251843455042598,1.28673202207858e-05
23,1,0.603048196979139,5.20620346274029,634.763597197971,6554.92207866216,6873.74679144966,6.82601042408453e-07,-1.00387005448727e-07,-0.000196265988051891,1.24023127996973e-05,-0.9999875976872,-0.00252552941088548,1.2921029304727e-05
24,1,0.60253149473823,5.20516443755774,635.127233715248,6549.79307413626,6882.691698434,1.59520883213937e-06,4.79642090597635e-07,-0.000200429931282997,1.17435013126795e-05,-0.999988256498687,-0.00252326443774994,1.29036621413781e-05
25,1,0.601483254204007,5.20306795710135,636.368547814387,6553.05272157326,6870.26479572975,4.71931060853401e-07,1.08728774033981e-07,-0.00019797938875854,1.17278652680366e-05,-0.999988272134732,-0.00251669525767178,1.28481939768955e-05
26,1,0.601451104959845,5.20300365862896,636.60628396879,6554.28718279571,6880.03114803575,1.00346624933259e-06,3.1050592922601e-07,-0.000198840862140059,1.17273851831878e-05,-0.999988272614817,-0.00251570491374254,1.28384409758955e-05
27,1,6.69346289672606e-06,5.20015737781698,637.489129249949,6549.27227802518,6871.32398697031,7.07658657676562e-07,-9.13944796788788e-07,-0.000198092311620712,2.008273097289e-06,-0.999997991726903,-0.00250997330584162,1.2795902450203e-05
28,1,0.602028534673733,5.20415850741889,635.720426238566,6553.00828513257,6857.60212359196,1.1745123879672e-05,0.00374602593956581,0.00184634630568326,1.17348085708406e-05,-0.999988265191429,-0.00252011878554426,1.28771034285457e-05
29,1,0.59972646858687,5.19955442371252,637.537085591424,6547.26030625005,6862.81366845818,2.84736913551796e-07,-1.60229982568341e-07,-0.000197663903236389,1.17058783391435e-05,-0.999988294121661,-0.00250932683586638,1.27924940233572e-05
30,1,0.600865334133398,5.2018321188174,636.857061844684,6553.30342846022,6851.93479405772,1.81971578466181e-05,0.00373817806287168,0.00183955393731594,1.17188149245007e-05,-0.999988281185076,-0.00251379449822927,1.28254435681842e-05
31,1,0.602330000451989,5.20476145190503,635.323312843056,6549.74912100151,6871.6908347866,8.57229593731407e-07,-5.51105741965234e-08,-0.00019741733558476,1.17408210146168e-05,-0.999988259178985,-0.00252216853117331,1.28947000951789e-05
32,1,0.603084988378523,5.2062714043675,635.045062995141,6554.60933509364,6845.67207596524,1.3998105480736e-05,0.00375317336556981,0.00185151910409331,1.17494183907258e-05,-0.999988250581609,-0.00252446250670939,1.29097465516955e-05
